epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4061.88,1.17066,0.72866,1.15346,0.63832,0.64979,0.67976,0.29367,2.17553,1.42608,1.92746,0.0009506,0.0009506,0.0009506
55,4134.82,1.15174,0.70385,1.17792,0.67391,0.65823,0.67853,0.28441,2.15955,1.37035,1.91329,0.0009308,0.0009308,0.0009308
56,4207.7,1.15372,0.72748,1.17245,0.71395,0.64979,0.67986,0.2859,2.19735,1.41267,1.92137,0.000911,0.000911,0.000911
57,4280.92,1.14593,0.68686,1.14306,0.68065,0.61603,0.66941,0.28774,2.1363,1.4105,1.88605,0.0008912,0.0008912,0.0008912
58,4354.05,1.14062,0.68884,1.15003,0.68834,0.65823,0.68988,0.29663,2.08901,1.2722,1.84942,0.0008714,0.0008714,0.0008714
59,4427.27,1.13987,0.69092,1.13693,0.72693,0.65147,0.71799,0.31572,2.07897,1.2501,1.80227,0.0008516,0.0008516,0.0008516
60,4499.96,1.11755,0.68566,1.14144,0.78795,0.64557,0.72835,0.32078,2.04471,1.20229,1.7909,0.0008318,0.0008318,0.0008318
61,4573.61,1.12217,0.68201,1.14104,0.76254,0.66393,0.73769,0.32978,2.04915,1.302,1.775,0.000812,0.000812,0.000812
62,4647.54,1.11195,0.68089,1.11528,0.74085,0.61517,0.71749,0.31491,2.05192,1.32308,1.7639,0.0007922,0.0007922,0.0007922
63,4720.76,1.06373,0.66065,1.12013,0.71847,0.61181,0.70797,0.31332,2.099,1.29459,1.81341,0.0007724,0.0007724,0.0007724
64,4793.76,1.05183,0.62273,1.11414,0.68748,0.66245,0.71559,0.30811,2.11861,1.30693,1.84994,0.0007526,0.0007526,0.0007526
65,4866.81,1.05666,0.65887,1.10822,0.76722,0.59494,0.71597,0.3071,2.14664,1.39877,1.91309,0.0007328,0.0007328,0.0007328
66,4940,1.02474,0.60416,1.08333,0.73018,0.64557,0.72281,0.31135,2.14726,1.40947,1.91823,0.000713,0.000713,0.000713
67,5012.82,1.02373,0.59317,1.09885,0.78669,0.63803,0.74327,0.32327,2.06002,1.26806,1.85517,0.0006932,0.0006932,0.0006932
68,5085.86,1.00705,0.60875,1.09175,0.67982,0.67089,0.69376,0.31795,2.02985,1.27725,1.82703,0.0006734,0.0006734,0.0006734
69,5158.97,1.02786,0.61868,1.09993,0.81665,0.56382,0.6811,0.30438,2.02681,1.30536,1.82088,0.0006536,0.0006536,0.0006536
70,5232,1.00377,0.60186,1.08499,0.76288,0.57015,0.67781,0.28684,2.09434,1.45458,1.83927,0.0006338,0.0006338,0.0006338
71,5305.24,0.99957,0.62315,1.08795,0.70179,0.62869,0.66382,0.28038,2.09064,1.35747,1.85868,0.000614,0.000614,0.000614
72,5378.18,0.96274,0.57504,1.0619,0.73303,0.65401,0.68863,0.29256,2.07881,1.36573,1.83513,0.0005942,0.0005942,0.0005942
73,5451.25,0.95965,0.56927,1.05491,0.7222,0.65401,0.69161,0.30353,2.06876,1.29825,1.84435,0.0005744,0.0005744,0.0005744
74,5524.25,0.99245,0.58019,1.06672,0.70178,0.66526,0.69568,0.30783,2.09447,1.27684,1.87582,0.0005546,0.0005546,0.0005546
75,5597.44,0.9853,0.57985,1.0681,0.8115,0.6176,0.72903,0.31886,2.06947,1.28342,1.86631,0.0005348,0.0005348,0.0005348
76,5670.68,0.94921,0.58529,1.05355,0.81687,0.60228,0.72425,0.31555,2.04677,1.27084,1.87607,0.000515,0.000515,0.000515
77,5744.33,0.95585,0.57958,1.07315,0.77262,0.63291,0.71979,0.31585,2.06911,1.2855,1.88772,0.0004952,0.0004952,0.0004952
78,5817.03,0.94912,0.58253,1.07167,0.70084,0.67932,0.71975,0.31312,2.07268,1.27606,1.884,0.0004754,0.0004754,0.0004754
79,5890.24,0.92007,0.58421,1.02211,0.6964,0.64979,0.69782,0.30857,2.09692,1.29431,1.89576,0.0004556,0.0004556,0.0004556
80,5963.23,0.93747,0.58002,1.05763,0.7385,0.63156,0.70148,0.30962,2.11785,1.3222,1.88939,0.0004358,0.0004358,0.0004358
81,6036.16,0.92025,0.56792,1.04623,0.80975,0.62857,0.71154,0.31806,2.06857,1.35698,1.84869,0.000416,0.000416,0.000416
82,6108.79,0.94397,0.57932,1.06217,0.81809,0.63291,0.72598,0.3208,2.06978,1.31381,1.86254,0.0003962,0.0003962,0.0003962
83,6181.4,0.90552,0.54059,1.01866,0.82312,0.60871,0.70665,0.31168,2.09,1.27054,1.90867,0.0003764,0.0003764,0.0003764
84,6253.99,0.90601,0.54802,1.01957,0.75199,0.69198,0.70998,0.31326,2.07681,1.25355,1.9118,0.0003566,0.0003566,0.0003566
85,6327.77,0.85534,0.52965,1.03332,0.78838,0.67594,0.72841,0.31868,2.06764,1.23196,1.90393,0.0003368,0.0003368,0.0003368
86,6400.8,0.88763,0.53036,1.01902,0.75481,0.72152,0.7308,0.32153,2.05919,1.21193,1.90569,0.000317,0.000317,0.000317
87,6473.91,0.86442,0.52376,1.01082,0.76178,0.71514,0.73525,0.32274,2.06685,1.23117,1.91147,0.0002972,0.0002972,0.0002972
88,6546.58,0.87152,0.53258,0.99588,0.77121,0.69691,0.73163,0.32371,2.05236,1.21119,1.89535,0.0002774,0.0002774,0.0002774
89,6619.61,0.85987,0.52524,1.01637,0.7552,0.70042,0.72883,0.33321,2.03122,1.22724,1.86649,0.0002576,0.0002576,0.0002576
90,6692.57,0.85134,0.52421,1.00967,0.7727,0.70285,0.73987,0.32655,2.04201,1.24088,1.87508,0.0002378,0.0002378,0.0002378
